Bug,FileName,AvgCyclomatic,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
1,PrimaryKeysResponse.java,2.0,8.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,5.0,41.0,,,,39.0,38.0,4.0,,,,41.0,,,1.0,,2.0,0.0,38.0,,443.0,67.0,351.0,110.0,168.0,28.0,,,,157.0,241.0,102.0,,153.0,,,,,,6.0,6.0,9.0,9.0,5.0,,4.0,,,0.08,76.0,76.0,81.0,81.0,51.0
0,PrimitiveComparison.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,9.0,9.0,0.0,,,,9.0,,,0.0,,0.0,0.0,9.0,,49.0,11.0,12.0,11.0,0.0,26.0,,,,10.0,11.0,11.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,2.17,0.0,0.0,0.0,0.0,0.0
0,PrimitiveComparisonFilter.java,2.0,14.0,0.0,13.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,6.0,5.0,,,,5.0,5.0,6.0,,,,5.0,,,0.0,,2.0,2.0,1.0,,141.0,14.0,101.0,56.0,51.0,27.0,,,,70.0,81.0,52.0,,41.0,,,,,,4.0,4.0,4.0,4.0,3.0,,2.0,,,0.27,12.0,12.0,13.0,13.0,7.0
0,PrimitiveObjectInspector.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,2.0,,,,10.0,12.0,19.0,,,,12.0,,,9.0,,0.0,0.0,3.0,,98.0,15.0,23.0,22.0,0.0,60.0,,,,15.0,16.0,16.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,2.61,0.0,0.0,0.0,0.0,0.0
0,PrimitiveObjectInspectorConverter.java,2.0,10.0,0.0,10.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,19.0,0.0,2.0,37.0,,,,37.0,37.0,54.0,,,,37.0,,,0.0,,0.0,0.0,37.0,,608.0,71.0,478.0,163.0,236.0,59.0,,,,220.0,307.0,133.0,,178.0,,,,,,25.0,8.0,25.0,8.0,20.0,,2.0,,,0.12,88.0,71.0,88.0,71.0,74.0
0,PrimitiveObjectInspectorFactory.java,6.0,27.0,1.0,21.0,5.0,3.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,6.0,40.0,7.0,,,,7.0,1.0,0.0,,,,7.0,,,0.0,,1.0,0.0,6.0,,457.0,25.0,367.0,143.0,250.0,65.0,,,,204.0,224.0,89.0,,183.0,,,,,,19.0,4.0,19.0,4.0,1.0,,2.0,,,0.18,42.0,19.0,42.0,19.0,7.0
1,PrimitiveObjectInspectorUtils.java,5.0,21.0,0.0,18.0,2.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,4.0,43.0,25.0,57.0,,,,53.0,14.0,20.0,,,,57.0,,,4.0,,4.0,1.0,48.0,,1451.0,99.0,1185.0,261.0,875.0,172.0,,,,573.0,697.0,214.0,,555.0,,,,,,22.0,8.0,22.0,8.0,20.0,,3.0,,,0.15,289.0,134.0,293.0,138.0,116.0
0,PrimitiveTypeInfo.java,1.0,5.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,12.0,,,,12.0,12.0,1.0,,,,12.0,,,1.0,,0.0,0.0,11.0,,118.0,19.0,61.0,31.0,17.0,38.0,,,,24.0,39.0,24.0,,15.0,,,,,,3.0,3.0,4.0,4.0,3.0,,1.0,,,0.62,14.0,14.0,15.0,15.0,14.0
0,PrincipalDesc.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,6.0,,,,6.0,6.0,2.0,,,,6.0,,,0.0,,0.0,0.0,6.0,,64.0,15.0,32.0,17.0,9.0,17.0,,,,15.0,22.0,14.0,,8.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.53,6.0,6.0,6.0,6.0,6.0
0,PrincipalPrivilegeSet.java,3.0,14.0,1.0,13.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,7.0,54.0,,,,52.0,51.0,8.0,,,,54.0,,,1.0,,2.0,0.0,51.0,,906.0,99.0,780.0,179.0,434.0,36.0,,,,374.0,549.0,192.0,,402.0,,,,,,15.0,13.0,23.0,23.0,11.0,,5.0,,,0.05,163.0,153.0,178.0,168.0,76.0
0,PrincipalType.java,1.0,5.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,0.0,5.0,,,,3.0,4.0,4.0,,,,5.0,,,0.0,,1.0,0.0,4.0,,48.0,7.0,28.0,12.0,11.0,13.0,,,,12.0,16.0,9.0,,7.0,,,,,,4.0,2.0,4.0,2.0,1.0,,1.0,,,0.46,6.0,4.0,6.0,4.0,3.0
0,PrintCompletedTasksHook.java,4.0,11.0,0.0,11.0,0.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,1.0,,,,1.0,1.0,0.0,,,,1.0,,,0.0,,0.0,0.0,1.0,,42.0,4.0,16.0,7.0,5.0,22.0,,,,5.0,11.0,7.0,,5.0,,,,,,4.0,4.0,5.0,5.0,1.0,,3.0,,,1.38,4.0,4.0,5.0,5.0,1.0
0,PrintOpTreeProcessor.java,3.0,10.0,0.0,10.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,5.0,,,,5.0,5.0,3.0,,,,5.0,,,0.0,,2.0,0.0,3.0,,95.0,10.0,64.0,25.0,32.0,21.0,,,,33.0,49.0,25.0,,27.0,,,,,,4.0,4.0,4.0,4.0,1.0,,3.0,,,0.33,13.0,13.0,13.0,13.0,5.0
0,PrintSummary.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,,,,1.0,,,1.0,,0.0,0.0,0.0,,24.0,2.0,5.0,4.0,0.0,17.0,,,,3.0,4.0,4.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,3.4,0.0,0.0,0.0,0.0,0.0
0,Printer.java,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,4.0,,,,4.0,4.0,1.0,,,,4.0,,,0.0,,0.0,0.0,4.0,,41.0,6.0,18.0,8.0,7.0,17.0,,,,9.0,13.0,8.0,,7.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.94,4.0,4.0,4.0,4.0,4.0
0,PriorityBlockingDeque.java,2.0,12.0,0.0,8.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,53.0,,,,53.0,53.0,6.0,,,,53.0,,,0.0,,3.0,0.0,50.0,,773.0,70.0,432.0,106.0,257.0,271.0,,,,200.0,315.0,90.0,,248.0,,,,,,5.0,5.0,5.0,5.0,4.0,,3.0,,,0.63,101.0,101.0,102.0,102.0,71.0
0,PrivateHookContext.java,1.0,6.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2.0,,,,2.0,2.0,1.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,50.0,7.0,26.0,19.0,4.0,17.0,,,,14.0,17.0,14.0,,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.65,2.0,2.0,2.0,2.0,2.0
0,Privilege.java,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,10.0,10.0,,,,10.0,10.0,2.0,,,,10.0,,,0.0,,1.0,0.0,9.0,,119.0,27.0,71.0,39.0,40.0,21.0,,,,31.0,45.0,29.0,,27.0,,,,,,3.0,3.0,3.0,3.0,1.0,,1.0,,,0.3,12.0,12.0,15.0,15.0,10.0
0,PrivilegeBag.java,2.0,8.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,5.0,41.0,,,,39.0,38.0,4.0,,,,41.0,,,1.0,,2.0,0.0,38.0,,449.0,66.0,358.0,112.0,173.0,28.0,,,,160.0,246.0,104.0,,158.0,,,,,,6.0,6.0,9.0,9.0,5.0,,4.0,,,0.08,78.0,78.0,83.0,83.0,51.0
0,PrivilegeDesc.java,1.0,6.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,6.0,,,,6.0,6.0,2.0,,,,6.0,,,0.0,,0.0,0.0,6.0,,76.0,14.0,33.0,18.0,9.0,29.0,,,,16.0,23.0,15.0,,8.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.88,6.0,6.0,6.0,6.0,6.0
0,PrivilegeGrantInfo.java,3.0,11.0,0.0,10.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,11.0,58.0,,,,56.0,55.0,13.0,,,,58.0,,,1.0,,2.0,0.0,55.0,,815.0,99.0,674.0,155.0,419.0,57.0,,,,321.0,475.0,134.0,,364.0,,,,,,17.0,17.0,33.0,33.0,17.0,,3.0,,,0.08,167.0,147.0,186.0,166.0,92.0
0,PrivilegeGrantInfoBuilder.java,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,7.0,,,,7.0,7.0,5.0,,,,7.0,,,0.0,,0.0,0.0,7.0,,84.0,10.0,51.0,19.0,21.0,23.0,,,,28.0,39.0,19.0,,20.0,,,,,,4.0,4.0,4.0,4.0,1.0,,2.0,,,0.45,10.0,10.0,10.0,10.0,7.0
0,PrivilegeObjectDesc.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,10.0,,,,10.0,10.0,4.0,,,,10.0,,,0.0,,0.0,0.0,10.0,,83.0,18.0,47.0,24.0,13.0,18.0,,,,20.0,31.0,19.0,,12.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.38,10.0,10.0,10.0,10.0,10.0
0,PrivilegeRegistry.java,1.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,2.0,4.0,,,,4.0,0.0,0.0,,,,4.0,,,0.0,,1.0,0.0,3.0,,79.0,13.0,38.0,14.0,22.0,28.0,,,,25.0,30.0,13.0,,19.0,,,,,,2.0,2.0,2.0,2.0,1.0,,0.0,,,0.74,5.0,5.0,5.0,5.0,4.0
0,PrivilegeScope.java,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,2.0,5.0,,,,3.0,5.0,5.0,,,,5.0,,,0.0,,1.0,0.0,4.0,,57.0,11.0,24.0,15.0,9.0,22.0,,,,9.0,12.0,9.0,,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.92,3.0,3.0,3.0,3.0,3.0
0,PrivilegeSynchonizer.java,5.0,30.0,2.0,28.0,0.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,2.0,5.0,,,,5.0,5.0,4.0,,,,5.0,,,0.0,,3.0,0.0,2.0,,212.0,20.0,170.0,54.0,108.0,22.0,,,,86.0,115.0,55.0,,71.0,,,,,,9.0,9.0,9.0,9.0,5.0,,6.0,,,0.13,27.0,21.0,27.0,21.0,9.0
0,PrivilegeType.java,2.0,6.0,0.0,5.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,2.0,9.0,,,,7.0,5.0,13.0,,,,9.0,,,1.0,,2.0,0.0,6.0,,111.0,14.0,67.0,31.0,25.0,30.0,,,,28.0,43.0,21.0,,25.0,,,,,,3.0,3.0,3.0,3.0,1.0,,1.0,,,0.45,14.0,14.0,14.0,14.0,7.0
0,PrivilegesTestBase.java,3.0,19.0,2.0,15.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,4.0,1.0,,,,1.0,0.0,0.0,,,,1.0,,,0.0,,0.0,0.0,1.0,,58.0,7.0,32.0,20.0,14.0,19.0,,,,23.0,29.0,21.0,,10.0,,,,,,3.0,3.0,3.0,3.0,1.0,,1.0,,,0.59,3.0,3.0,3.0,3.0,1.0
0,ProcessAnalyzeTable.java,5.0,48.0,9.0,32.0,8.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,2.0,,,,2.0,2.0,1.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,155.0,25.0,91.0,51.0,51.0,39.0,,,,67.0,78.0,49.0,,44.0,,,,,,8.0,8.0,9.0,9.0,3.0,,3.0,,,0.43,9.0,9.0,10.0,10.0,4.0
0,ProgressMonitor.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,6.0,,,,12.0,12.0,1.0,,,,12.0,,,6.0,,0.0,0.0,6.0,,68.0,14.0,37.0,12.0,19.0,17.0,,,,16.0,23.0,17.0,,7.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.46,6.0,6.0,6.0,6.0,6.0
0,ProgressMonitorStatusMapper.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,1.0,,,,2.0,2.0,1.0,,,,2.0,,,1.0,,0.0,0.0,1.0,,36.0,4.0,11.0,6.0,4.0,21.0,,,,5.0,7.0,6.0,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.91,1.0,1.0,1.0,1.0,1.0
0,ProgressReporter.java,2.0,6.0,0.0,5.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,9.0,,,,9.0,9.0,2.0,,,,9.0,,,0.0,,0.0,0.0,9.0,,92.0,13.0,59.0,26.0,20.0,20.0,,,,20.0,35.0,19.0,,16.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,0.34,16.0,16.0,16.0,16.0,9.0
0,ProjectionPusher.java,6.0,35.0,3.0,29.0,4.0,6.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,4.0,,,,4.0,4.0,2.0,,,,4.0,,,0.0,,3.0,0.0,1.0,,203.0,21.0,151.0,63.0,85.0,33.0,,,,83.0,111.0,59.0,,66.0,,,,,,17.0,17.0,19.0,19.0,3.0,,4.0,,,0.22,25.0,25.0,30.0,30.0,6.0
0,PropValueUnion.java,3.0,11.0,0.0,10.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,2.0,10.0,10.0,55.0,,,,53.0,45.0,9.0,,,,55.0,,,1.0,,2.0,8.0,44.0,,734.0,72.0,645.0,166.0,395.0,24.0,,,,322.0,430.0,155.0,,303.0,,,,,,18.0,12.0,18.0,12.0,16.0,,4.0,,,0.04,143.0,101.0,145.0,103.0,90.0
0,ProtoMessageReader.java,1.0,5.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,6.0,,,,6.0,6.0,3.0,,,,6.0,,,1.0,,0.0,0.0,5.0,,69.0,11.0,38.0,20.0,10.0,20.0,,,,21.0,29.0,19.0,,10.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,0.53,7.0,7.0,7.0,7.0,6.0
0,ProtoMessageWritable.java,1.0,6.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,8.0,,,,8.0,8.0,8.0,,,,8.0,,,1.0,,0.0,0.0,7.0,,101.0,13.0,71.0,36.0,21.0,17.0,,,,37.0,51.0,31.0,,20.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,0.24,11.0,11.0,11.0,11.0,8.0
0,ProtoMessageWriter.java,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,6.0,,,,6.0,6.0,3.0,,,,6.0,,,1.0,,0.0,0.0,5.0,,71.0,11.0,43.0,22.0,14.0,17.0,,,,23.0,30.0,21.0,,9.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.4,6.0,6.0,6.0,6.0,6.0
0,ProtobufProxy.java,2.0,9.0,0.0,9.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,5.0,,,,5.0,5.0,7.0,,,,5.0,,,0.0,,2.0,0.0,3.0,,87.0,10.0,63.0,30.0,26.0,14.0,,,,36.0,46.0,27.0,,20.0,,,,,,3.0,3.0,3.0,3.0,3.0,,1.0,,,0.22,9.0,9.0,9.0,9.0,7.0
0,ProtocolBuffersStructObjectInspector.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,1.0,,,,1.0,1.0,0.0,,,,1.0,,,0.0,,0.0,0.0,1.0,,33.0,4.0,7.0,4.0,1.0,22.0,,,,2.0,4.0,3.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,3.14,1.0,1.0,1.0,1.0,1.0
0,ProxyAuthTest.java,3.0,23.0,2.0,18.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,13.0,14.0,13.0,,,,13.0,0.0,0.0,,,,13.0,,,0.0,,12.0,0.0,1.0,,384.0,47.0,272.0,74.0,198.0,77.0,,,,184.0,226.0,78.0,,162.0,,,,,,6.0,6.0,6.0,6.0,1.0,,2.0,,,0.28,33.0,33.0,33.0,33.0,13.0
0,ProxyFileSystem.java,1.0,6.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,39.0,,,,39.0,39.0,6.0,,,,39.0,,,0.0,,1.0,4.0,34.0,,306.0,52.0,216.0,116.0,69.0,38.0,,,,75.0,117.0,66.0,,60.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,0.18,43.0,43.0,43.0,43.0,39.0
0,ProxyLocalFileSystem.java,2.0,5.0,0.0,4.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,1.0,,,,1.0,1.0,0.0,,,,1.0,,,0.0,,0.0,0.0,1.0,,36.0,5.0,10.0,7.0,1.0,21.0,,,,5.0,7.0,6.0,,1.0,,,,,,2.0,2.0,2.0,2.0,1.0,,0.0,,,2.1,2.0,2.0,2.0,2.0,1.0
0,ProxyLocalFileSystem.java,2.0,7.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,0.0,13.0,,,,13.0,12.0,4.0,,,,13.0,,,1.0,,1.0,0.0,11.0,,159.0,23.0,97.0,45.0,38.0,40.0,,,,46.0,67.0,37.0,,34.0,,,,,,3.0,3.0,3.0,3.0,1.0,,2.0,,,0.41,20.0,20.0,21.0,21.0,13.0
0,ProxyUserAuthenticator.java,5.0,29.0,5.0,23.0,1.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,,,,1.0,,,0.0,,0.0,0.0,1.0,,70.0,12.0,32.0,12.0,17.0,26.0,,,,17.0,23.0,11.0,,13.0,,,,,,5.0,5.0,5.0,5.0,1.0,,1.0,,,0.81,5.0,5.0,5.0,5.0,1.0
0,ProxyUserSupport.java,5.0,27.0,0.0,23.0,4.0,5.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,7.0,7.0,7.0,,,,7.0,0.0,0.0,,,,7.0,,,2.0,,5.0,0.0,0.0,,241.0,8.0,183.0,47.0,115.0,51.0,,,,70.0,107.0,44.0,,76.0,,,,,,16.0,16.0,20.0,20.0,5.0,,5.0,,,0.28,36.0,36.0,42.0,42.0,11.0
0,PrunedPartitionList.java,1.0,5.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,8.0,,,,8.0,8.0,5.0,,,,8.0,,,0.0,,0.0,0.0,8.0,,99.0,18.0,47.0,22.0,16.0,34.0,,,,27.0,36.0,20.0,,16.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.72,8.0,8.0,8.0,8.0,8.0
0,PrunerExpressionOperatorFactory.java,3.0,18.0,2.0,13.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,5.0,3.0,0.0,7.0,,,,8.0,5.0,0.0,,,,8.0,,,0.0,,0.0,1.0,7.0,,216.0,31.0,113.0,50.0,55.0,72.0,,,,50.0,78.0,45.0,,34.0,,,,,,9.0,9.0,11.0,11.0,1.0,,3.0,,,0.64,19.0,19.0,22.0,22.0,7.0
0,PrunerOperatorFactory.java,2.0,24.0,2.0,14.0,8.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,3.0,1.0,0.0,5.0,,,,6.0,5.0,0.0,,,,6.0,,,0.0,,0.0,3.0,3.0,,197.0,21.0,92.0,43.0,46.0,84.0,,,,50.0,64.0,35.0,,34.0,,,,,,4.0,4.0,5.0,5.0,3.0,,2.0,,,0.91,11.0,11.0,12.0,12.0,7.0
0,PrunerUtils.java,1.0,23.0,2.0,10.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,3.0,,,,3.0,1.0,0.0,,,,3.0,,,0.0,,1.0,0.0,2.0,,124.0,13.0,58.0,44.0,21.0,53.0,,,,46.0,50.0,40.0,,21.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.91,3.0,3.0,3.0,3.0,3.0
0,PushdownTuple.java,2.0,11.0,0.0,10.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,5.0,,,,5.0,5.0,3.0,,,,5.0,,,0.0,,0.0,0.0,5.0,,111.0,11.0,74.0,38.0,37.0,26.0,,,,48.0,59.0,37.0,,28.0,,,,,,5.0,5.0,5.0,5.0,5.0,,1.0,,,0.35,11.0,11.0,11.0,11.0,9.0
0,PutFileMetadataRequest.java,3.0,10.0,0.0,9.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,8.0,54.0,,,,52.0,51.0,8.0,,,,54.0,,,1.0,,2.0,0.0,51.0,,710.0,89.0,582.0,144.0,324.0,48.0,,,,266.0,402.0,136.0,,293.0,,,,,,11.0,11.0,23.0,23.0,11.0,,4.0,,,0.08,139.0,129.0,154.0,144.0,76.0
0,PutFileMetadataResult.java,1.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,4.0,32.0,,,,30.0,29.0,2.0,,,,32.0,,,1.0,,2.0,0.0,29.0,,283.0,52.0,208.0,90.0,77.0,23.0,,,,89.0,141.0,78.0,,70.0,,,,,,3.0,4.0,3.0,4.0,3.0,,2.0,,,0.11,40.0,45.0,40.0,45.0,34.0
0,PutWritable.java,2.0,7.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,5.0,,,,5.0,5.0,1.0,,,,5.0,,,0.0,,0.0,0.0,5.0,,73.0,6.0,50.0,30.0,16.0,17.0,,,,30.0,39.0,27.0,,16.0,,,,,,3.0,3.0,3.0,3.0,1.0,,1.0,,,0.34,8.0,8.0,8.0,8.0,5.0
0,QB.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,68.0,,,,68.0,67.0,26.0,,,,68.0,,,2.0,,0.0,4.0,62.0,,459.0,84.0,299.0,115.0,115.0,77.0,,,,137.0,220.0,118.0,,106.0,,,,,,4.0,4.0,6.0,6.0,4.0,,2.0,,,0.26,82.0,82.0,93.0,93.0,73.0
0,QBExpr.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,1.0,18.0,,,,16.0,18.0,12.0,,,,18.0,,,0.0,,0.0,0.0,18.0,,137.0,23.0,84.0,30.0,35.0,30.0,,,,40.0,60.0,28.0,,33.0,,,,,,2.0,2.0,3.0,3.0,1.0,,1.0,,,0.36,19.0,19.0,21.0,21.0,16.0
0,QBJoinTree.java,1.0,6.0,0.0,5.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,50.0,,,,50.0,50.0,22.0,,,,50.0,,,0.0,,0.0,0.0,50.0,,448.0,74.0,264.0,94.0,115.0,110.0,,,,133.0,200.0,97.0,,109.0,,,,,,19.0,19.0,19.0,19.0,4.0,,3.0,,,0.42,74.0,74.0,75.0,75.0,53.0
0,QBMetaData.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,7.0,18.0,,,,18.0,18.0,7.0,,,,18.0,,,0.0,,0.0,0.0,18.0,,149.0,28.0,90.0,43.0,35.0,31.0,,,,50.0,69.0,42.0,,28.0,,,,,,2.0,2.0,2.0,2.0,1.0,,0.0,,,0.34,19.0,19.0,19.0,19.0,18.0
