Bug,FileName,AvgCyclomatic,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
0,ACLConfigurationParser.java,3.0,11.0,0.0,11.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,3.0,10.0,,,,10.0,10.0,2.0,,,,10.0,,,0.0,,3.0,0.0,7.0,,167.0,22.0,125.0,38.0,70.0,20.0,,,,57.0,89.0,37.0,,58.0,,,,,,11.0,11.0,13.0,13.0,9.0,,3.0,,,0.16,29.0,29.0,32.0,32.0,22.0
0,AMReporter.java,2.0,12.0,0.0,11.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,10.0,0.0,1.0,39.0,,,,39.0,39.0,33.0,,,,39.0,,,11.0,,2.0,4.0,22.0,,604.0,69.0,475.0,179.0,248.0,60.0,,,,231.0,319.0,162.0,,190.0,,,,,,7.0,7.0,9.0,9.0,3.0,,4.0,,,0.13,76.0,76.0,79.0,79.0,41.0
0,ASTBuilder.java,5.0,17.0,1.0,16.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,14.0,1.0,19.0,,,,19.0,4.0,1.0,,,,18.0,,,0.0,,0.0,0.0,18.0,,395.0,37.0,326.0,72.0,246.0,32.0,,,,150.0,184.0,68.0,,132.0,,,,,,66.0,9.0,66.0,9.0,5.0,,2.0,,,0.1,95.0,35.0,95.0,35.0,23.0
0,ASTConverter.java,4.0,18.0,1.0,15.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,8.0,2.0,2.0,41.0,,,,41.0,39.0,26.0,,,,41.0,,,12.0,,9.0,3.0,17.0,,931.0,106.0,726.0,254.0,457.0,99.0,,,,383.0,559.0,263.0,,369.0,,,,,,20.0,17.0,21.0,17.0,9.0,,5.0,,,0.14,159.0,148.0,174.0,163.0,55.0
0,ASTErrorNode.java,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,5.0,,,,5.0,5.0,1.0,,,,5.0,,,0.0,,0.0,0.0,5.0,,49.0,8.0,21.0,18.0,6.0,20.0,,,,12.0,18.0,13.0,,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.95,5.0,5.0,5.0,5.0,5.0
0,ASTNode.java,2.0,10.0,1.0,8.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,26.0,,,,26.0,26.0,7.0,,,,26.0,,,0.0,,8.0,0.0,18.0,,349.0,52.0,240.0,75.0,133.0,57.0,,,,123.0,178.0,67.0,,129.0,,,,,,11.0,11.0,15.0,15.0,4.0,,4.0,,,0.24,58.0,58.0,71.0,71.0,32.0
0,ASTNodeOrigin.java,1.0,7.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,6.0,,,,6.0,6.0,5.0,,,,6.0,,,0.0,,0.0,0.0,6.0,,95.0,9.0,31.0,14.0,10.0,55.0,,,,16.0,23.0,13.0,,10.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.77,6.0,6.0,6.0,6.0,6.0
0,ATSHook.java,2.0,19.0,1.0,16.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,10.0,1.0,11.0,25.0,,,,15.0,24.0,29.0,,,,25.0,,,3.0,,4.0,2.0,16.0,,480.0,47.0,388.0,148.0,255.0,54.0,,,,229.0,291.0,139.0,,204.0,,,,,,10.0,8.0,10.0,8.0,6.0,,4.0,,,0.14,56.0,54.0,57.0,55.0,26.0
0,AbortDroneException.java,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,2.0,,,,2.0,2.0,0.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,29.0,1.0,10.0,5.0,3.0,18.0,,,,4.0,7.0,5.0,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.8,2.0,2.0,2.0,2.0,2.0
0,AbortTxnEvent.java,1.0,8.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2.0,,,,2.0,2.0,1.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,51.0,6.0,16.0,10.0,3.0,29.0,,,,8.0,11.0,8.0,,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.81,2.0,2.0,2.0,2.0,2.0
